location,hour,avg,median,high,low,std,obs
PEPCO,0,55.818175656,46.950652,438.808619,15.740297,35.22906969422774,2125
PEPCO,1,48.93469441552941,40.503683,412.079341,13.669551,30.879318276836244,2125
PEPCO,2,42.37214493317647,34.601882,471.070052,12.466362,28.02556873970984,2125
PEPCO,3,36.71801788752941,29.753239,382.241036,10.414719,24.677765859727383,2125
PEPCO,4,33.52560354284369,26.7704745,354.174988,10.092812,23.248869003653656,2124
PEPCO,5,31.76589221882353,25.155387,399.153729,9.594236,22.281648287434106,2125
PEPCO,6,29.792055804705882,23.517709,353.255265,8.295244,21.56352933696585,2125
PEPCO,7,28.927373277647057,22.84778,343.35383,8.199892,21.019582219359265,2125
PEPCO,8,29.693077350588236,23.287638,350.87288,6.79796,21.709481714186147,2125
PEPCO,9,32.917225781647055,25.946035,360.292141,8.804856,23.254729236134345,2125
PEPCO,10,39.86030710729411,30.508654,359.856059,8.157881,28.636778263768235,2125
PEPCO,11,47.12293166964706,35.162335,409.783649,9.642284,36.465361302975545,2125
PEPCO,12,47.249975928000005,35.552696,452.975779,10.739226,38.20381340153984,2125
PEPCO,13,43.30808452988235,34.74501,462.409554,8.461378,29.528364275020834,2125
PEPCO,14,43.02982432,34.769806,421.486886,11.868296,27.588060326054492,2125
PEPCO,15,44.86494838352941,36.291771,350.224388,11.603093,28.70431296066984,2125
PEPCO,16,46.25088956188235,37.237395,333.087481,11.317557,30.8273594639183,2125
PEPCO,17,47.889652384,37.634745,306.609777,11.131099,34.68134871506296,2125
PEPCO,18,49.50481479341177,38.061778,344.91147,10.635826,38.62746253763202,2125
PEPCO,19,52.30562683435294,39.258698,430.703088,10.438066,44.424694512710076,2125
PEPCO,20,57.26295075952941,42.295058,555.653061,11.188125,51.44721778447126,2125
PEPCO,21,62.825521730823525,46.702342,659.657814,11.419713,54.50787508641449,2125
PEPCO,22,65.4182244202353,52.223233,616.162065,13.411912,49.76267456050297,2125
PEPCO,23,62.35643487388235,50.58867,570.84785,15.570162,43.547179204595544,2125
